-100,7,5214380.634478146,5894200.274873953,77.0
-100,5,5299816.612605534,6041014.694930689,57.0
-100,2,5342040.448539584,6528976.764039787,93.0
-100,11,5386206.523820262,7036759.480853527,72.0
-100,17,5391829.042607577,5726113.301846026,85.0
-100,3,5506219.305474598,5665268.411004119,76.0
-100,11,5582968.090275232,7164976.965635994,71.0
-100,5,5879212.508700728,7015572.086042148,82.0
-100,3,6053880.355896307,6446542.999179431,72.0
-100,5,6680159.913095874,7019186.227025851,78.0
8,13,4516918.287805264,4958618.453693473,100.0
8,11,4556708.498966622,4625888.0,84.0
8,3,4614429.926450202,4971664.482453937,66.0
8,12,4945381.987802112,4969478.224614182,96.0
8,7,5013597.268855018,6252707.584197825,98.0
8,13,5083889.360532254,7213024.435997765,87.0
8,6,5114133.881662256,6677378.123192272,93.0
8,7,5176107.779787653,6252986.615189834,88.0
8,5,5299816.612605534,6041014.694930689,57.0
8,3,5506219.305474598,5665268.411004119,76.0
10,4,4313807.310696705,4839916.783499684,68.0
10,2,4335356.112592817,5073062.560731886,76.0
10,7,4401273.270923039,4829790.0,96.0
10,14,4629869.382802698,4678143.763782007,88.0
10,17,4715704.728535423,5704682.567282629,94.0
10,12,4935510.701891307,5796502.731065741,82.0
10,17,5170813.96096165,5623363.491968052,83.0
10,7,5214380.634478146,5894200.274873953,77.0
10,2,5342040.448539584,6528976.764039787,93.0
10,11,5386206.523820262,7036759.480853527,72.0
15,9,4338485.547948405,4710757.0,82.0
15,16,4598876.626323331,5076029.508334692,76.0
15,6,4807685.682436313,4913580.0,95.0
15,1,4827540.439782844,4935788.48353995,75.0
15,0,4904443.629407546,4967467.0,100.0
15,17,5391829.042607577,5726113.301846026,85.0
15,11,5582968.090275232,7164976.965635994,71.0
15,5,5879212.508700728,7015572.086042148,82.0
15,3,6053880.355896307,6446542.999179431,72.0
15,5,6680159.913095874,7019186.227025851,78.0
